feeder number  value                                  package                            file
                                                                                         DBSens-1-0
0081                                                  M31                                DBSens-1-0
0087                                                  HOLE1.5                            DBSens-1-0
0099                                                  CC0805                             DBSens-1-0
0100                                                  7SIP50PROG                         DBSens-1-0
0109                                                  ROBOTHOLES                         DBSens-1-0
0112                                                  HOLE3.5                            DBSens-1-0
0113                                                  THRUPAD                            DBSens-1-0
0114                                                  HOLE2.6                            DBSens-1-0
0120                                                  P1THRU                             DBSens-1-0
0125                                                  ANT24G                             DBSens-1-0
0126                                                  VIA0.8X0.4                         DBSens-1-0
0592                                                  RC0805                             DBSens-1-0
1051           +19.6V                                 VIA59HOLE39                        DBSens-1-0
1050           +5V                                    VIA59HOLE39                        DBSens-1-0
0068           +AB                                    EPLABEL                            DBSens-1-0
0069           +EPA                                   EPLABEL                            DBSens-1-0
1049           +EPA                                   KT6                                DBSens-1-0
0022           0.01                                   0805                               DBSens-1-0
0180           0.01                                   0603                               DBSens-1-0
0228           0.01                                   CC0805                             DBSens-1-0
0549           0.01                                   C0805                              DBSens-1-0
1404           0.015                                                                     DBSens-1-0
1374           0.01UF                                 C0805                              DBSens-1-0
1791           0.01UF+10%50V                          C0603                              DBSens-1-0
1811           0.01UF+10%50V                          C0805                              DBSens-1-0
0036           0.022                                  0805                               DBSens-1-0
0088           0.022                                  CC0805                             DBSens-1-0
0552           0.022                                  C0805                              DBSens-1-0
1375           0.022UF                                C0805                              DBSens-1-0
1792           0.022UF+10%50V                         C0603                              DBSens-1-0
1812           0.022UF+10%50V                         C0805                              DVM-1-11
0921           0.033                                  CC0805                             DVM-1-11
1376           0.033UF                                C0805                              DVM-1-11
1813           0.033UF+10%50V                         C0805                              DVM-1-11
0177           0.047                                  0603                               DVM-1-11
0445           0.047                                  CC0805                             DVM-1-11
1405           0.047                                                                     DVM-1-11
1377           0.047UF                                C0805                              DVM-1-11
1793           0.047UF+10%50V                         C0603                              DVM-1-11
1814           0.047UF+10%50V                         C0805                              DVM-1-11
1393           0.047UF160V                                                               DVM-1-11
0017           0.1                                    0805                               DVM-1-11
