LAYER_L;BLK_NAME;W_L;X1;Y1;X2;Y2;
0;;0;0;0;1.905e+07;0;
0;;0;1.905e+07;0;1.905e+07;3.81e+06;
0;;0;1.905e+07;3.81e+06;3.81e+06;3.81e+06;
0;;0;3.81e+06;3.81e+06;3.81e+06;7.239e+07;
0;;0;3.81e+06;7.239e+07;1.905e+07;7.239e+07;
0;;0;1.905e+07;7.239e+07;1.905e+07;7.493e+07;
0;;0;1.905e+07;7.493e+07;3.81e+06;7.493e+07;
0;;0;3.81e+06;7.493e+07;3.81e+06;1.3335e+08;
0;;0;3.81e+06;1.3335e+08;1.905e+07;1.3335e+08;
0;;0;1.905e+07;1.3335e+08;1.905e+07;1.3589e+08;
0;;0;1.905e+07;1.3589e+08;3.81e+06;1.3589e+08;
0;;0;3.81e+06;1.3589e+08;3.81e+06;1.6129e+08;
0;;0;3.81e+06;1.6129e+08;7.239e+07;1.6129e+08;
0;;0;7.239e+07;1.6129e+08;7.239e+07;1.6002e+08;
0;;0;7.239e+07;1.6002e+08;7.62e+07;1.6002e+08;
0;;0;7.62e+07;1.6002e+08;7.62e+07;1.651e+08;
0;;0;7.62e+07;1.651e+08;0;1.651e+08;
0;;0;0;1.651e+08;0;0;
0;;0;4.191e+07;0;7.62e+07;0;
0;;0;7.62e+07;0;7.62e+07;3.302e+07;
0;;0;7.62e+07;3.302e+07;7.239e+07;3.302e+07;
0;;0;7.239e+07;3.302e+07;7.239e+07;3.81e+06;
0;;0;7.239e+07;3.81e+06;4.191e+07;3.81e+06;
0;;0;4.191e+07;3.81e+06;4.191e+07;0;
0;;0;4.191e+07;7.239e+07;7.239e+07;7.239e+07;
0;;0;7.239e+07;7.239e+07;7.239e+07;5.588e+07;
0;;0;7.239e+07;5.588e+07;7.62e+07;5.588e+07;
0;;0;7.62e+07;5.588e+07;7.62e+07;8.636e+07;
0;;0;7.62e+07;8.636e+07;7.239e+07;8.636e+07;
0;;0;7.239e+07;8.636e+07;7.239e+07;7.493e+07;
0;;0;7.239e+07;7.493e+07;4.191e+07;7.493e+07;
0;;0;4.191e+07;7.493e+07;4.191e+07;7.239e+07;
0;;0;4.191e+07;1.3335e+08;7.239e+07;1.3335e+08;
0;;0;7.239e+07;1.3335e+08;7.239e+07;1.0922e+08;
0;;0;7.239e+07;1.0922e+08;7.62e+07;1.0922e+08;
0;;0;7.62e+07;1.0922e+08;7.62e+07;1.3716e+08;
0;;0;7.62e+07;1.3716e+08;7.239e+07;1.3716e+08;
0;;0;7.239e+07;1.3716e+08;7.239e+07;1.3589e+08;
0;;0;7.239e+07;1.3589e+08;4.191e+07;1.3589e+08;
0;ENDBLK;0;4.191e+07;1.3589e+08;4.191e+07;1.3335e+08;
